request_id,raw_text,normalized_text,english_gloss,language_type,intent,category,department,urgency,severity,locality,district,source_type,split
CDX_045,water tank clean panna sollunga,water tank clean panna sollunga,Request to clean water tank,tanglish,complaint,water_supply,Water Supply Department,medium,service_delay,urban_area,Chennai,synthetic_realistic,train
CDX_046,water supply 3 days ah varala,water supply 3 days ah varala,No water supply for 3 days,code_mixed,complaint,water_supply,Water Supply Department,high,service_failure,urban_area,Chennai,synthetic,train
CDX_047,road la pothole iruku please fix,road la pothole iruku please fix,There is a pothole on the road please fix,code_mixed,complaint,roads,Roads Department,high,public_hazard,urban_area,Chennai,synthetic_realistic,train
CDX_048,street light not working night time,street light not working night time,Street light not working at night,code_mixed,complaint,street_lighting,Electricity Department,medium,service_failure,urban_area,Chennai,synthetic_realistic,train
CDX_049,drain block aayiduchu need urgent cleaning,drain block aayiduchu need urgent cleaning,Drain is blocked and needs urgent cleaning,code_mixed,complaint,drainage,Drainage Department,high,public_hazard,urban_area,Chennai,synthetic_realistic,train
CDX_050,garbage collection regular ah illa in my area,garbage collection regular ah illa in my area,Garbage collection is not regular in my area,code_mixed,complaint,sanitation,Sanitation Department,medium,service_delay,urban_area,Chennai,synthetic_realistic,train
CDX_051,ration card application status enna,ration card application status enna,What is the status of my ration card application,code_mixed,status_query,certificates,Revenue Department,low,information_query,urban_area,Chennai,synthetic,train
CDX_052,birth certificate apply panna process explain pannunga,birth certificate apply panna process explain pannunga,Explain the process to apply for birth certificate,code_mixed,application_help,certificates,Revenue Department,low,information_query,urban_area,Chennai,real,train
CDX_053,old complaint still not resolved enna update,old complaint still not resolved enna update,Previous complaint is still not resolved what is the update,code_mixed,follow_up,sanitation,Sanitation Department,medium,service_delay,urban_area,Chennai,real,train
CDX_054,water tank cleaning request register panna venum,water tank cleaning request register panna venum,Need to register a request for water tank cleaning,code_mixed,application_help,water_supply,Water Supply Department,low,information_query,urban_area,Chennai,real,train
CDX_055,eb bill amount romba high why this much,eb bill amount romba high why this much,Electricity bill amount is very high why is it so,code_mixed,complaint,electricity,Electricity Department,medium,service_failure,urban_area,Chennai,real,train
CDX_056,sewage overflow problem road la dangerous ah iruku,sewage overflow problem road la dangerous ah iruku,Sewage overflow on the road is dangerous,code_mixed,complaint,drainage,Drainage Department,high,public_hazard,urban_area,Chennai,synthetic_realistic,train
CDX_057,street dog problem complaint register panna venum,street dog problem complaint register panna venum,Need to register complaint for street dog problem,code_mixed,application_help,public_health,Public Health Department,low,information_query,urban_area,Chennai,synthetic_realistic,train
CDX_058,passport status check panna website enna,passport status check panna website enna,What is the website to check passport status,code_mixed,information_request,certificates,Revenue Department,low,information_query,urban_area,Chennai,synthetic_realistic,train
CDX_059,new water connection apply panna help venum,new water connection apply panna help venum,Need help to apply for new water connection,code_mixed,application_help,water_supply,Water Supply Department,low,information_query,urban_area,Chennai,synthetic,train
CDX_060,this issue escalate panna higher officer yaru,this issue escalate panna higher officer yaru,Who is the higher officer to escalate this issue,code_mixed,escalation,roads,Roads Department,high,public_hazard,urban_area,Chennai,synthetic_realistic,train
CDX_061,என் தெருவில் குப்பை தினமும் எடுக்கவில்லை,என் தெருவில் குப்பை தினமும் எடுக்கவில்லை,Garbage is not collected daily in my street,tamil,complaint,sanitation,Sanitation Department,medium,service_delay,urban_area,Chennai,synthetic_realistic,train
CDX_062,சாலை முழுவதும் குழிகள் உள்ளது மிகவும் அபாயம்,சாலை முழுவதும் குழிகள் உள்ளது மிகவும் அபாயம்,The road is full of potholes and is dangerous,tamil,complaint,roads,Roads Department,high,public_hazard,urban_area,Chennai,synthetic,train
CDX_063,என் வீட்டுக்கு தண்ணீர் இணைப்பு எப்போது கிடைக்கும்?,என் வீட்டுக்கு தண்ணீர் இணைப்பு எப்போது கிடைக்கும்?,When will I get water connection for my house,tamil,status_query,water_supply,Water Supply Department,medium,service_delay,urban_area,Chennai,synthetic_realistic,train
CDX_064,வீதியில் விளக்குகள் வேலை செய்யவில்லை இரவில் இருள் அதிகம்,வீதியில் விளக்குகள் வேலை செய்யவில்லை இரவில் இருள் அதிகம்,Street lights are not working and it is very dark at night,tamil,complaint,street_lighting,Electricity Department,medium,service_failure,urban_area,Chennai,synthetic_realistic,train
CDX_065,டிரெயினேஜ் நீர் வெளியே வருகிறது சுகாதார பிரச்சனை,டிரெயினேஜ் நீர் வெளியே வருகிறது சுகாதார பிரச்சனை,Sewage water is overflowing causing health issues,tamil,complaint,drainage,Drainage Department,high,public_hazard,urban_area,Chennai,synthetic_realistic,train
CDX_066,புதிய ரேஷன் கார்டு விண்ணப்பிக்க உதவி தேவை,புதிய ரேஷன் கார்டு விண்ணப்பிக்க உதவி தேவை,Need help to apply for new ration card,tamil,application_help,certificates,Revenue Department,low,information_query,urban_area,Chennai,synthetic,train
CDX_067,என் முந்தைய புகாருக்கு இன்னும் பதில் இல்லை,என் முந்தைய புகாருக்கு இன்னும் பதில் இல்லை,No response for my previous complaint,tamil,follow_up,sanitation,Sanitation Department,medium,service_delay,urban_area,Chennai,synthetic_realistic,train
CDX_068,இந்த பிரச்சனைக்கு உடனடி நடவடிக்கை எடுக்க வேண்டும்,இந்த பிரச்சனைக்கு உடனடி நடவடிக்கை எடுக்க வேண்டும்,Immediate action must be taken for this issue,tamil,escalation,roads,Roads Department,high,public_hazard,urban_area,Chennai,synthetic_realistic,train
CDX_069,மின்சாரம் அடிக்கடி போகிறது காரணம் என்ன?,மின்சாரம் அடிக்கடி போகிறது காரணம் என்ன?,Power cuts are frequent what is the reason,tamil,information_request,electricity,Electricity Department,medium,service_failure,urban_area,Chennai,synthetic,train
CDX_070,மருத்துவமனையில் சேவை தரம் மிகவும் குறைவு,மருத்துவமனையில் சேவை தரம் மிகவும் குறைவு,Hospital service quality is very poor,tamil,complaint,public_health,Public Health Department,high,service_failure,urban_area,Chennai,synthetic_realistic,train
CDX_071,என் விண்ணப்பம் இன்னும் நிலுவையில் உள்ளது,என் விண்ணப்பம் இன்னும் நிலுவையில் உள்ளது,My application is still pending,tamil,status_query,certificates,Revenue Department,low,information_query,urban_area,Chennai,synthetic_realistic,train
CDX_072,இந்த பிரச்சனைக்கு யாரை தொடர்பு கொள்ள வேண்டும்?,இந்த பிரச்சனைக்கு யாரை தொடர்பு கொள்ள வேண்டும்?,Who should I contact for this issue,tamil,information_request,public_health,Public Health Department,low,information_query,urban_area,Chennai,synthetic_realistic,train
CDX_073,குப்பை சேகரிப்பு சரியாக நடைபெறவில்லை,குப்பை சேகரிப்பு சரியாக நடைபெறவில்லை,Garbage collection is not happening properly,tamil,complaint,sanitation,Sanitation Department,medium,service_delay,urban_area,Chennai,synthetic_realistic,train
CDX_074,சாலை பழுது பார்த்து சரி செய்ய வேண்டும்,சாலை பழுது பார்த்து சரி செய்ய வேண்டும்,The road needs to be repaired,tamil,complaint,roads,Roads Department,high,public_hazard,urban_area,Chennai,real,train
CDX_075,தண்ணீர் விநியோகம் சரியாக இல்லை,தண்ணீர் விநியோகம் சரியாக இல்லை,Water supply is not proper,tamil,complaint,water_supply,Water Supply Department,medium,service_failure,urban_area,Chennai,synthetic_realistic,train
CDX_076,விளக்கு சரி செய்யப்படவில்லை இன்னும்,விளக்கு சரி செய்யப்படவில்லை இன்னும்,Street light is still not fixed,tamil,follow_up,street_lighting,Electricity Department,medium,service_delay,urban_area,Chennai,synthetic_realistic,train
CDX_077,டிரெயின் அடைப்பு காரணமாக தண்ணீர் நிற்கிறது,டிரெயின் அடைப்பு காரணமாக தண்ணீர் நிற்கிறது,Water is stagnating due to drain blockage,tamil,complaint,drainage,Drainage Department,high,public_hazard,urban_area,Chennai,synthetic_realistic,train
CDX_078,இந்த சேவை மிகவும் மோசமாக உள்ளது,இந்த சேவை மிகவும் மோசமாக உள்ளது,This service is very poor,tamil,escalation,welfare,Welfare Department,medium,service_failure,urban_area,Chennai,synthetic_realistic,train
CDX_079,வெளிச்சம் இல்லாததால் இரவில் பயமாக உள்ளது,வெளிச்சம் இல்லாததால் இரவில் பயமாக உள்ளது,It is scary at night due to no lighting,tamil,complaint,street_lighting,Electricity Department,high,public_hazard,urban_area,Chennai,synthetic,train
CDX_080,இந்த பிரச்சனைக்கு விரைவில் தீர்வு தரவும்,இந்த பிரச்சனைக்கு விரைவில் தீர்வு தரவும்,Please resolve this issue quickly,tamil,escalation,sanitation,Sanitation Department,medium,service_delay,urban_area,Chennai,synthetic_realistic,train
CDX_081,மழைக்குப் பிறகு தெருவில் தண்ணீர் தேங்கி உள்ளது,மழைக்குப் பிறகு தெருவில் தண்ணீர் தேங்கி உள்ளது,Water is stagnating on the street after rain,tamil,complaint,drainage,Drainage Department,high,public_hazard,urban_area,Chennai,synthetic_realistic,train
CDX_082,பஸ்கள் நேரத்திற்கு வரவில்லை தினமும் தாமதம்,பஸ்கள் நேரத்திற்கு வரவில்லை தினமும் தாமதம்,Buses are not arriving on time daily,tamil,complaint,transport,Transport Department,medium,service_delay,urban_area,Chennai,synthetic_realistic,train
CDX_083,மின் கம்பி கீழே தொங்குகிறது மிகவும் ஆபத்து,மின் கம்பி கீழே தொங்குகிறது மிகவும் ஆபத்து,Electric wire is hanging low and is dangerous,tamil,complaint,electricity,Electricity Department,high,public_hazard,urban_area,Chennai,synthetic_realistic,train
CDX_084,கழிவு நீர் வீதியில் வெளியேறுகிறது சுகாதார பிரச்சனை,கழிவு நீர் வீதியில் வெளியேறுகிறது சுகாதார பிரச்சனை,Sewage overflowing on the street causing health issues,tamil,complaint,drainage,Drainage Department,high,public_hazard,urban_area,Chennai,synthetic_realistic,train
CDX_085,அரசு அலுவலகத்தில் பதில் வரவில்லை இரண்டு வாரமாக,அரசு அலுவலகத்தில் பதில் வரவில்லை இரண்டு வாரமாக,No response from government office for two weeks,tamil,complaint,certificates,Revenue Department,medium,service_delay,urban_area,Chennai,synthetic_realistic,train
CDX_086,தெருவில் குப்பை குவிந்து நோய் பரவ வாய்ப்பு உள்ளது,தெருவில் குப்பை குவிந்து நோய் பரவ வாய்ப்பு உள்ளது,Garbage is piled up in the street causing disease risk,tamil,complaint,sanitation,Sanitation Department,high,public_hazard,urban_area,Chennai,synthetic_realistic,train
CDX_087,குழாய் உடைந்து தண்ணீர் வீணாகிறது,குழாய் உடைந்து தண்ணீர் வீணாகிறது,Pipe is broken and water is wasting,tamil,complaint,water_supply,Water Supply Department,high,service_failure,urban_area,Chennai,synthetic_realistic,train
CDX_088,சாலை பழுதால் வாகனங்கள் செல்ல முடியவில்லை,சாலை பழுதால் வாகனங்கள் செல்ல முடியவில்லை,Vehicles cannot move due to damaged road,tamil,complaint,roads,Roads Department,high,public_hazard,urban_area,Chennai,synthetic_realistic,train
CDX_089,விளக்கு இல்லாததால் இரவில் நடக்க முடியவில்லை,விளக்கு இல்லாததால் இரவில் நடக்க முடியவில்லை,Cannot walk at night due to no street lights,tamil,complaint,street_lighting,Electricity Department,medium,service_failure,urban_area,Chennai,synthetic_realistic,train
CDX_090,மருத்துவமனையில் நீண்ட நேரம் காத்திருக்க வேண்டியுள்ளது,மருத்துவமனையில் நீண்ட நேரம் காத்திருக்க வேண்டியுள்ளது,Long waiting time in hospital,tamil,complaint,public_health,Public Health Department,medium,service_delay,urban_area,Chennai,synthetic_realistic,train
CDX_091,புதிய ரேஷன் கார்டு இன்னும் கிடைக்கவில்லை,புதிய ரேஷன் கார்டு இன்னும் கிடைக்கவில்லை,New ration card has not been issued yet,tamil,follow_up,certificates,Revenue Department,medium,service_delay,urban_area,Chennai,synthetic_realistic,train
CDX_092,மின் துண்டிப்பு அடிக்கடி நடக்கிறது காரணம் தெரியவில்லை,மின் துண்டிப்பு அடிக்கடி நடக்கிறது காரணம் தெரியவில்லை,Frequent power cuts with unknown reason,tamil,information_request,electricity,Electricity Department,medium,service_failure,urban_area,Chennai,real,train
CDX_093,குப்பை எடுப்பது முறையாக இல்லை தினமும் பிரச்சனை,குப்பை எடுப்பது முறையாக இல்லை தினமும் பிரச்சனை,Garbage is not collected properly daily issue,tamil,complaint,sanitation,Sanitation Department,medium,service_delay,urban_area,Chennai,synthetic_realistic,train
CDX_094,தண்ணீர் வராததால் மிகவும் சிரமமாக உள்ளது,தண்ணீர் வராததால் மிகவும் சிரமமாக உள்ளது,No water supply causing severe difficulty,tamil,complaint,water_supply,Water Supply Department,high,service_failure,urban_area,Chennai,synthetic,train
CDX_095,டிரெயினேஜ் அடைப்பால் துர்நாற்றம் வருகிறது,டிரெயினேஜ் அடைப்பால் துர்நாற்றம் வருகிறது,Bad smell due to drain blockage,tamil,complaint,drainage,Drainage Department,high,public_hazard,urban_area,Chennai,synthetic_realistic,train
CDX_096,சாலை விளக்குகள் பல நாட்களாக வேலை செய்யவில்லை,சாலை விளக்குகள் பல நாட்களாக வேலை செய்யவில்லை,Street lights not working for many days,tamil,follow_up,street_lighting,Electricity Department,medium,service_failure,urban_area,Chennai,synthetic,train
CDX_097,அரசு சேவை மிகவும் மெதுவாக செயல்படுகிறது,அரசு சேவை மிகவும் மெதுவாக செயல்படுகிறது,Government service is very slow,tamil,complaint,welfare,Welfare Department,medium,service_delay,urban_area,Chennai,synthetic_realistic,train
CDX_098,பள்ளி அருகே குப்பை அதிகமாக உள்ளது,பள்ளி அருகே குப்பை அதிகமாக உள்ளது,Garbage is heavily accumulated near school,tamil,complaint,sanitation,Sanitation Department,high,public_hazard,urban_area,Chennai,synthetic_realistic,train
CDX_099,புதிய தண்ணீர் இணைப்பு இன்னும் வழங்கப்படவில்லை,புதிய தண்ணீர் இணைப்பு இன்னும் வழங்கப்படவில்லை,New water connection not yet provided,tamil,status_query,water_supply,Water Supply Department,medium,service_delay,urban_area,Chennai,synthetic,train
CDX_100,இந்த பிரச்சனைக்கு உடனடி தீர்வு தேவை,இந்த பிரச்சனைக்கு உடனடி தீர்வு தேவை,Immediate resolution required for this issue,tamil,escalation,sanitation,Sanitation Department,high,service_delay,urban_area,Chennai,synthetic_realistic,train
CDX_101,என் தெருவில் குப்பை வாரம் முழுக்க எடுக்கவில்லை,என் தெருவில் குப்பை வாரம் முழுக்க எடுக்கவில்லை,Garbage not collected for a week,tamil,complaint,sanitation,Sanitation Department,high,service_delay,urban_area,Chennai,synthetic_realistic,train
CDX_102,water pipe burst aayiduchu road la,water pipe burst ஆகி சாலையில் தண்ணீர் வெளியேறுகிறது,Water pipe burst on road,tanglish,complaint,water_supply,Water Supply Department,high,public_hazard,urban_area,Chennai,synthetic_realistic,train
CDX_103,என் ration card still not received,என் ரேஷன் கார்டு இன்னும் வரவில்லை,My ration card not received,code_mixed,status_query,certificates,Revenue Department,medium,service_delay,urban_area,Chennai,synthetic_realistic,train
CDX_104,street light complaint already raised but no action,street light complaint ஏற்கனவே கொடுத்தும் நடவடிக்கை இல்லை,Already reported street light issue no action,tanglish,follow_up,street_lighting,Electricity Department,medium,service_delay,urban_area,Chennai,synthetic_realistic,train
CDX_105,drainage overflow near my house urgent,என் வீட்டின் அருகே டிரெயினேஜ் overflow உள்ளது,Drainage overflow near house,tamil,complaint,drainage,Drainage Department,high,public_hazard,urban_area,Chennai,synthetic,train
CDX_106,எப்படி new electricity connection apply பண்ணுவது?,எப்படி புதிய மின்சார இணைப்பு விண்ணப்பிப்பது?,How to apply for new electricity connection,code_mixed,application_help,electricity,Electricity Department,low,information_query,urban_area,Chennai,synthetic_realistic,train
CDX_107,road repair status enna update?,சாலை பழுது நிலைமை என்ன?,What is road repair status,code_mixed,status_query,roads,Roads Department,low,information_query,urban_area,Chennai,real,train
CDX_108,garbage smell unbearable in street,குப்பை வாசனை தாங்க முடியவில்லை,Garbage smell unbearable,tamil,complaint,sanitation,Sanitation Department,medium,public_hazard,urban_area,Chennai,synthetic_realistic,train
CDX_109,water supply daily irregular problem,தண்ணீர் விநியோகம் தினமும் சரியில்லை,Irregular water supply,tamil,complaint,water_supply,Water Supply Department,medium,service_failure,urban_area,Chennai,synthetic_realistic,train
CDX_110,passport application status check link venum,passport status check link வேண்டும்,Need passport status check link,code_mixed,information_request,certificates,Revenue Department,low,information_query,urban_area,Chennai,synthetic_realistic,train
CDX_111,street dog attack problem increasing,தெரு நாய் பிரச்சனை அதிகரிக்கிறது,Street dog problem increasing,tamil,complaint,public_health,Public Health Department,high,public_hazard,urban_area,Chennai,synthetic_realistic,train
CDX_112,already complained drainage issue still same,already drainage complaint கொடுத்தும் இன்னும் அதே நிலை,Drainage issue still same after complaint,tanglish,follow_up,drainage,Drainage Department,medium,service_delay,urban_area,Chennai,synthetic_realistic,train
CDX_113,என் application reject reason please சொல்லுங்க,என் விண்ணப்பம் நிராகரிக்கப்பட்ட காரணம் சொல்லுங்கள்,Reason for application rejection,tamil,status_query,certificates,Revenue Department,low,information_query,urban_area,Chennai,synthetic_realistic,train
CDX_114,electricity bill suddenly too high this month,மின் கட்டணம் இந்த மாதம் அதிகமாக வந்துள்ளது,Electricity bill very high,tamil,complaint,electricity,Electricity Department,medium,service_failure,urban_area,Chennai,synthetic_realistic,train
CDX_115,road pothole accident risk high here,சாலையில் பெரிய குழி விபத்து அபாயம்,High accident risk due to pothole,tamil,complaint,roads,Roads Department,high,public_hazard,urban_area,Chennai,synthetic_realistic,train
